"movie","category","rating","note","watched","barcode","loaned","running_time","format","region","rated","location"
"hugo",,,,,,"ck",,"bluray",,,
"tower heist",,,,,,"ck",,"bluray",,,
"Rush hour 3",,,,,,"Ck",,"Dvd",,,
"money talks",,,,,,"Ck",,"Dvd",,,
"Rush hour 2",,,,,,"ck",,"Dvd",,,
"rush hour",,,,,,"Ck",,"Dvd",,,
"burn after reading",,,,,,"Ck",,"Dvd",,,
"Bowfinger",,,,,,"Ck",,"Dvd",,,
"water horse",,,,,,"Ck",,"Dvd",,,
"Maverick",,,,,,"Ck",,"Dvd",,,
"box",,,,,,"Ck",,"Dvd",,,
"man who knew too little",,,,,,"ck",,"dvd",,,
"rebecca",,,"Olivier",,,"Ck",,"Dvd",,,
"shanghai knights",,,,,,"Ck",,"Dvd",,,
"kings",,,"Complete series",,,"Ck",,"Dvd",,,
"star trek",,,"Young crew",,,"Ck",,"dvd",,,
"green hornet",,,,,,"Ck",,"dvd",,,
"due date",,,,,,"Ck",,"Blu ray",,,
"benjamin button",,,,,,"Ck",,"Dvd",,,
"just go with it",,,,,,"Ck",,"Dvd",,,
"king's speech",,,,,,"Ck",,"Dvd",,,
"lincoln lawyer",,,,,,"Ck",,"Dvd",,,
"doc martin",,,,,,"Ck",,"Dvd",,,
"krippendorf's tribe",,,,,,"Ck",,"Dvd",,,
"wanted",,,,,,"ck",,"Dvd",,,
"time to kill",,,,,,"Ck",,"Bluray",,,
"Red riding hood",,,2010,,,"Ck",,"Dvd",,,
"Pelican brief",,,,,,"Ck",,"Bluray",,,
"client",,,,,,"Ck",,"Dvd",,,
"brick",,,,,,"Ck",,"Dvd",,,
9,,,"toon",,,"cat",,"bluray",,,
187,,,,,,"cat",,"dvd",,,
300,,,,,,"ekk",,"dvd",,,
"12 angry men",,,1957,,,"cat",,"dvd",,,
"12 monkeys",,,,,,"cat",,"dvd",,,
"2001: a space odyssey",,,,,,"cat",,"dvd",,,
"2010:year we make contact",,,,,,"cat",,"dvd ",,,
"3:10 to Yuma",,,,,,"cat",,"dvd",,,
"48 hours mystery",,,"wm3",,,"cat",,"dvd",,,
"8 heads in a duffel bag",,,,,,"cat",,"dvd",,,
"8mm",,,,,,"ekk",,"dvd",,,
"a good day to die",,,,,,"cat",,"dvd",,,
"a merry war",,,,,,"cat",,"dvd",,,
"abyss",,,,,,"cat",,"dvd",,,
"accepted",,,,,,"ekk",,"dvd",,,
"accidental spy",,,,,,"cat",,"dvd",,,
"adventures in babysitting",,,,,,"cat",,"dvd",,,
"adventures of sherlock holmes",,,"vol 3",,,"cat",,"dvd",,,
"airplane",,,,,,"ekk",,"dvd",,,
"airplane 2",,,,,,"ekk",,"dvd",,,
"ali",,,,,,"ekk",,"dvd",,,
"alice in wonderland",,,"johnny depp",,,"cat",,"bluray",,,
"all star tribute to brian wilson",,,,,,"ekk",,"dvd",,,
"along came a spider",,,,,,"cat",,"dvd",,,
"amadeus",,,,,,"cat",,"dvd",,,
"american chopper season 2",,,,,,"ekk",,"dvd",,,
"american graffiti",,,,,,"cat",,"dvd",,,
"an inconvenient truth",,,,,,"cat",,"dvd",,,
"angle heart",,,,,,"ekk",,"vhs",,,
"arlington road",,,,,,"cat",,"dvd",,,
"arrival",,,,,,"cat",,"dvd",,,
"as you like it",,,"shakespeare",,,"cat",,"dvd",,,
"at war with the army",,,"1950's",,,"cat",,"dvd",,,
"atonement",,,,,,"cat",,"dvd",,,
"austin powers spy who shagged me",,,,,,"ekk",,"dvd",,,
"avatar",,,,,,"cat",,"bluray",,,
"bait",,,,,,"ekk",,"dvd",,,
"batman begins",,,,,,"cat",,"dvd",,,
"battlefield earth",,,,,,"cat",,"dvd",,,
"beach boys good timin",,,,,,"ekk",,"dvd",,,
"beach boys lost concert",,,,,,"ekk",,"dvd",,,
"beatles anthology",,,,,,"ekk",,"vhs",,,
"bedtime stories",,,,,,"cat",,"dvd",,,
"beetlejuice",,,,,,"ekk",,"dvd",,,
"being john malcovich",,,,,,"cat",,"dvd",,,
"beyond the sea",,,,,,"ekk",,"dvd",,,
"big easy",,,,,,"cat",,"dvd",,,
"big squeeze",,,,,,"cat",,"dvd",,,
"black swan",,,,,,"cat",,"bluray&digi",,,
"blindness",,,,,,"cat",,"dvd",,,
"blue streak",,,,,,"ekk",,"dvd",,,
"blues - musical journey",,,,,,"ekk",,"dvd",,,
"bodies  rest & motion",,,,,,"cat",,"dvd",,,
"bone collector",,,,,,"cat",,"dvd",,,
"brazil",,,,,,"cat",,"dvd",,,
"brewster's millions",,,,,,"ekk",,"dvd",,,
"bridge to terabithia",,,,,,"cat",,"dvd",,,
"buckaroo bonzai",,,,,,"ekk",,"dvd",,,
"bug's life",,,,,,"ekk",,"dvd",,,
"bully",,,,,,"ekk",,"ps2",,,
"bustin loose",,,,,,"ekk",,"dvd",,,
"cadillac man",,,,,,"cat",,"dvd",,,
"caine mutiny",,,1954,,,"cat",,"dvd",,,
"can't you hear the wind howl?",,,,,,"ekk",,"dvd",,,
"cape fear",,,,,,"ekk",,"vhs",,,
"car wash",,,,,,"ekk",,"dvd",,,
"carl perkins and friends",,,,,,"ekk",,"dvd",,,
"casablanca",,,1943,,,"cat",,"dvd",,,
"cats",,,,,,"cat",,"dvd",,,
"central station",,,,,,"cat",,"dvd",,,
"charlie and the chocolate factory",,,"j depp",,,"cat",,"dvd",,,
"chris farley",,,,,,"ekk",,"dvd",,,
"christmas story",,,,,,"cat",,"dvd",,,
